,AtomicNumber,Element,Symbol,AtomicMass,Neutrons,Protons,Electrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Isotopes,Discoverer,Year,SpecificHeat,Shells,Valence,Config,MassNumber
0,1.0,Hydrogen,H,1.008,0.0,1.0,1.0,1.0,1.0,gas,False,True,False,True,False,Nonmetal,0.79,2.2,13.5984,0.0000899,14.175,20.28,3.0,Cavendish,1766,14.304,1.0,1.0,1s1,1.0
1,2.0,Helium,He,4.002,2.0,2.0,2.0,1.0,18.0,gas,False,True,False,True,False,Noble Gas,0.49,,24.5874,0.000179,Unknown,4.22,5.0,Janssen,1868,5.193,1.0,0.0,1s2,4.0
2,3.0,Lithium,Li,6.941,4.0,3.0,3.0,2.0,1.0,solid,False,True,True,False,False,Alkali Metal,2.1,0.98,5.3917,0.534,453.85,1615,5.0,Arfvedson,1817,3.582,2.0,1.0,[He] 2s1,7.0
3,4.0,Beryllium,Be,9.012,5.0,4.0,4.0,2.0,2.0,solid,False,True,True,False,False,Alkaline Earth Metal,1.4,1.57,9.3227,1.85,1560.15,2742,6.0,Vaulquelin,1798,1.825,2.0,2.0,[He] 2s2,9.0
4,5.0,Boron,B,10.811,6.0,5.0,5.0,2.0,13.0,solid,False,True,False,False,True,Metalloid,1.2,2.04,8.298,2.34,2573.15,4200,6.0,Gay-Lussac,1808,1.026,2.0,3.0,[He] 2s2 2p1,11.0
5,6.0,Carbon,C,12.011,6.0,6.0,6.0,2.0,14.0,solid,False,True,False,True,False,Nonmetal,0.91,2.55,11.2603,2.27,3948.15,4300,7.0,Prehistoric,Unknown,0.709,2.0,4.0,[He] 2s2 2p2,12.0
6,7.0,Nitrogen,N,14.007,7.0,7.0,7.0,2.0,15.0,gas,False,True,False,True,False,Nonmetal,0.75,3.04,14.5341,0.00125,63.29,77.36,8.0,Rutherford,1772,1.04,2.0,5.0,[He] 2s2 2p3,14.0
7,8.0,Oxygen,O,15.999,8.0,8.0,8.0,2.0,16.0,gas,False,True,False,True,False,Nonmetal,0.65,3.44,13.6181,0.00143,50.5,90.2,8.0,Priestley/Scheele,1774,0.917999999999999,2.0,6.0,[He] 2s2 2p4,16.0
8,9.0,Fluorine,F,18.998,10.0,9.0,9.0,2.0,17.0,gas,False,True,False,True,False,Halogen,0.57,3.98,17.4228,0.0017,53.63,85.03,6.0,Moissan,1886,0.824,2.0,7.0,[He] 2s2 2p5,19.0
9,10.0,Neon,Ne,20.18,10.0,10.0,10.0,2.0,18.0,gas,False,True,False,True,False,Noble Gas,0.51,,21.5645,0.0009,24.703,27.07,8.0,Ramsay and Travers,1898,1.03,2.0,8.0,[He] 2s2 2p6,20.0
10,11.0,Sodium,Na,22.99,12.0,11.0,11.0,3.0,1.0,solid,False,True,True,False,False,Alkali Metal,2.2,0.93,5.1391,0.971,371.15,1156,7.0,Davy,1807,1.228,3.0,1.0,[Ne] 3s1,23.0
