,Element,Formula,State,H,G,S
0,Aluminum,Al,s,0.0,0.0,28.3
1,Aluminum,Al3+,aq,-531.0,-485.0,-321.7
2,Aluminum,AlCl3,s,-705.6,-630.1,109.3
3,Aluminum,Al2Cl6,g,-1291.0,-1221.0,490.0
4,Aluminum,AlF3,s,-1504.0,-1425.0,66.48
5,Aluminum,Al2O3,s,-1676.0,-1582.0,50.94
6,Aluminum,Al(OH)3,s,-1276.0,,
7,Aluminum,Al2(SO4)3,s,-3441.0,-3100.0,239.0
8,Barium,Ba,s,0.0,0.0,62.3
9,Barium,Ba2+,aq,-537.6,-560.8,9.6
10,Barium,Ba2+,g,1649.9,,
11,Barium,Ba,g,175.6,144.8,170.28
12,Barium,Ba+,g,684.6,,
13,Barium,BaCO3,s,-1216.0,-1138.0,112.0
14,Barium,BaCl2,s,-858.1,-810.4,123.7
15,Barium,BaF2,s,-1209.0,-1159.0,96.4
16,Barium,BaO,s,-548.1,-520.4,72.09
17,Barium,Ba(OH)2,s,-946.0,-859.4,107.0
18,Barium,Ba(OH)2·8H2O,s,-3342.0,-2793.0,427.0
19,Barium,BaSO4,s,-1473.0,-1362.0,132.0
20,Beryllium,Be,s,0.0,0.0,9.54
21,Beryllium,BeCl2,s,-496.2,-449.5,75.81
22,Beryllium,BeF2,s,-1027.0,-979.5,53.35
23,Beryllium,BeO,s,-608.4,-579.1,13.77
24,Bismuth,Bi,s,0.0,0.0,56.74
25,Bismuth,BiCl3,s,-379.0,-315.0,177.0
26,Bismuth,Bi2O3,s,-573.9,-493.7,151.0
27,Boron,B,s²-rhomohedral,0.0,0.0,5.86
28,Boron,BCl3,l,-427.2,-387.0,206.0
29,Boron,BF3,g,-1137.0,-1120.3,254.0
30,Boron,B2H6,g,36.0,86.6,232.0
31,Boron,B2O3,s,-1272.0,-1193.0,53.8
32,Bromine,Br,g,111.9,82.4,174.9
33,Bromine,Br-,aq,-120.9,-102.82,80.71
34,Bromine,Br-,g,-218.9,,
35,Bromine,Br2,g,30.91,3.13,245.38
36,Bromine,Br2,l,0.0,0.0,152.23
37,Bromine,BrCl,g,14.6,-0.96,240.0
38,Bromine,BrF3,g,-255.6,-229.5,292.4
39,Bromine,BrF3,l,-300.8,-240.6,178.2
40,Bromine,HBr,g,-36.4,-53.43,198.6
41,Cadmium,Cd,s,0.0,0.0,51.76
42,Cadmium,Cd,g,112.8,78.2,167.64
43,Cadmium,Cd2+,aq,-75.9,-77.61,-73.2
44,Cadmium,CdCl2,s,-391.5,-344.0,115.3
45,Cadmium,CdO,s,-258.0,-228.0,54.8
46,Cadmium,CdS,s,-144.0,-141.0,71.0
47,Calcium,Ca,s,0.0,0.0,41.4
48,Calcium,Ca,g,192.6,158.9,154.78
49,Calcium,Ca2+,aq,-542.96,-553.04,-55.2
50,Calcium,Ca2+,g,1934.1,,
51,Calcium,Ca+,g,788.6,,
52,Calcium,CaBr2,s,-682.8,-663.6,130.0
53,Calcium,CaCO3,s,-1207.0,-1128.0,88.7
54,Calcium,CaCl2,s,-795.8,-748.1,105.0
55,Calcium,CaF2,s,-1220.0,-1167.0,68.87
56,Calcium,CaH2,s,-186.0,-147.0,42.0
57,Calcium,Ca(NO3)2,s,-938.4,-743.2,193.0
58,Calcium,CaO,s,-635.1,-604.0,39.75
59,Calcium,Ca(OH)2,s,-986.1,-898.6,83.39
60,Calcium,CaOH+,aq,,-718.4,
61,Calcium,Ca3(PO4)2,s,-4121.0,-3885.0,236.0
62,Calcium,CaSO4,s,-1434.0,-1322.0,106.7
63,Carbon,C,g,716.7,671.3,158.0
64,Carbon,C,sgraphite,0.0,0.0,5.74
65,Carbon,C,sdiamond,1.9,2.9,2.38
66,Carbon,CCl4,g,-102.9,-60.63,309.7
67,Carbon,CCl4,l,-135.4,-65.27,216.2
68,Carbon,C2N2,g,308.9,297.2,242.3
69,Carbon,CN-,aq,151.0,166.0,118.0
70,Carbon,HCN,g,135.0,125.0,201.7
71,Carbon,HCN,l,105.0,121.0,112.8
72,Carbon,HCN,aq,105.0,112.0,129.0
73,Carbon,CO,g,-110.5,-137.2,197.6
74,Carbon,CO2,g,-393.5,-394.4,213.6
75,Carbon,CO2,aq,-412.9,-386.2,121.0
76,Carbon,CO32-,aq,-677.1,-527.8,-56.9
77,Carbon,HCO3-,aq,-691.11,-587.06,95.0
78,Carbon,H2CO3,aq,-698.7,-623.42,191.0
79,Carbon,C3O2,g,-93.72,-109.8,276.4
80,Carbon,C3O2,l,-117.3,-105.0,181.1
81,Carbon,COCl2,g,-220.9,-206.8,283.8
82,Carbon,CH3Cl,g,-83.7,-60.2,234.0
83,Carbon,CH2Cl2,l,-117.0,-63.2,179.0
84,Carbon,CHCl3,l,-132.0,-71.5,203.0
85,Carbon,COS,g,-138.4,-165.6,231.5
86,Carbon,CS2,g,117.0,66.9,237.79
87,Carbon,CS2,l,89.7,65.27,151.3
88,Cesium,Cs+,g,458.5,427.1,169.72
89,Cesium,Cs+,aq,-248.0,-282.0,133.0
90,Cesium,Cs,g,76.7,49.7,175.5
91,Cesium,Cs,s,0.0,0.0,85.15
92,Cesium,CsF,s,-554.7,-525.4,88.0
93,Cesium,CsCl,s,-442.8,-414.0,101.18
94,Cesium,CsBr,s,-395.0,-383.0,121.0
95,Cesium,CsI,s,-337.0,-333.0,130.0
96,Chlorine,Cl,g,121.7,105.7,165.1
97,Chlorine,Cl-,aq,-167.2,-131.2,56.5
98,Chlorine,Cl-,g,-234.0,-240.0,153.25
99,Chlorine,Cl2,g,0.0,0.0,223.0
100,Chlorine,ClF3,g,-163.2,-123.0,281.5
101,Chlorine,ClO2,g,102.5,120.5,256.7
102,Chlorine,Cl2O,g,80.33,97.49,267.9
103,Chlorine,HCl,g,-92.31,-95.3,186.8
104,Chlorine,HCl,aq,-167.2,-131.3,56.48
105,Chromium,Cr,s,0.0,0.0,23.66
106,Chromium,CrCl2,s,-395.4,-356.0,115.3
107,Chromium,CrCl3,s,-556.5,-486.1,123.0
108,Chromium,Cr2O3,s,-1135.0,-1053.0,81.17
109,Chromium,CrO42-,aq,-881.2,-727.8,50.21
110,Chromium,Cr2O72-,aq,-1490.3,-1301.1,261.9
111,Chromium,[Cr(H2O)6]3+,aq,-1971.0,,
112,Cobalt,Co,s,0.0,0.0,30.0
113,Cobalt,Co2+,aq,-67.4,-51.5,-155.0
114,Cobalt,Co3+,aq,92.0,134.0,-305.0
115,Cobalt,CoO,s,-237.9,-214.2,52.97
116,Cobalt,Co3O4,s,-891.0,-774.0,102.5
117,Cobalt,Co(OH)2,spink,-539.7,-454.4,79.0
118,Cobalt,CoCl2,s,-312.5,-269.8,109.2
119,Copper,Cu,s,0.0,0.0,33.15
120,Copper,Cu,g,341.1,301.4,166.29
121,Copper,Cu+,aq,51.9,50.2,-26.0
122,Copper,Cu2+,aq,64.77,65.49,-99.6
123,Copper,CuCl2,s,-220.1,-175.7,108.1
124,Copper,CuCO3·Cu(OH)2,s,-1051.0,-893.7,186.0
125,Copper,Cu2O,s,-168.6,-146.0,93.14
126,Copper,CuO,s,-157.3,-129.7,42.63
127,Copper,Cu(OH)2,s,-450.2,-373.0,108.0
128,Copper,CuSO4·5H2O,s,-2279.6,-1880.1,300.4
129,Fluorine,F,g,78.99,61.92,158.7
130,Fluorine,F-,g,-255.6,-262.5,145.47
